Event,Event Start Time,Event End Time
59.5,035 20:06:20.093577,035 20:06:20.143562
60,035 20:06:21.093591,035 20:06:21.143603
59,035 20:06:23.093678,035 20:06:23.143673
60,035 20:06:24.093693,035 20:06:24.143708
59,035 20:06:26.093874,035 20:06:26.143892
59.5,035 20:06:27.093805,035 20:06:27.143807
57,035 20:06:28.093860,035 20:06:28.143847
59.5,035 20:06:29.093937,035 20:06:29.143997
60.5,035 20:06:30.093930,035 20:06:30.143920
59,035 20:06:31.093949,035 20:06:31.143954
58.5,035 20:06:32.094100,035 20:06:32.144071
59,035 20:06:37.094174,035 20:06:37.144189
58.5,035 20:06:38.094217,035 20:06:38.144334
60.5,035 20:06:40.094312,035 20:06:40.144301
61,035 20:06:41.094337,035 20:06:41.144348
56.5,035 20:06:42.094446,035 20:06:42.144503
59,035 20:06:43.094411,035 20:06:43.144424
58,035 20:06:44.094466,035 20:06:44.144456
59,035 20:06:45.094553,035 20:06:45.144613
58.5,035 20:06:46.094539,035 20:06:46.144534
59.5,035 20:06:47.094577,035 20:06:47.144582
58.5,035 20:06:48.094638,035 20:06:48.144741
61.5,035 20:06:49.094684,035 20:06:49.144660
58.5,035 20:06:50.094688,035 20:06:50.144691
57.5,035 20:06:51.094716,035 20:06:51.144799
59,035 20:06:55.094926,035 20:06:55.144997
59.5,035 20:06:56.094912,035 20:06:56.144916
61,035 20:06:59.095026,035 20:06:59.145020
59.5,035 20:07:00.095073,035 20:07:00.145061
60,035 20:07:03.095186,035 20:07:03.145194
59.5,035 20:07:04.095214,035 20:07:04.145288
58.5,035 20:07:05.095335,035 20:07:05.145325
59.5,035 20:07:07.095318,035 20:07:07.145329
60,035 20:07:09.095395,035 20:07:09.145400
59.5,035 20:07:11.095561,035 20:07:11.145547
59,035 20:07:12.095513,035 20:07:12.145510
58,035 20:07:13.095546,035 20:07:13.145547
59.5,035 20:07:14.095674,035 20:07:14.145707
58.5,035 20:07:15.095676,035 20:07:15.145627
59.5,035 20:07:17.095694,035 20:07:17.145757
58,035 20:07:18.095831,035 20:07:18.145755
59.5,035 20:07:19.095787,035 20:07:19.145779
59,035 20:07:20.095834,035 20:07:20.145843
59.5,035 20:07:22.095906,035 20:07:22.145910
58,035 20:07:24.096068,035 20:07:24.146059
58.5,035 20:07:25.096021,035 20:07:25.146031
57.5,035 20:07:26.096047,035 20:07:26.146060
62.5,035 20:07:28.096131,035 20:07:28.146140
60.5,035 20:07:29.096163,035 20:07:29.146175
58.5,035 20:07:30.096204,035 20:07:30.146292
61,035 20:07:31.096310,035 20:07:31.146250
60,035 20:07:32.096276,035 20:07:32.146290
59.5,035 20:07:34.096426,035 20:07:34.146483
61,035 20:07:35.096402,035 20:07:35.146404
60.5,035 20:07:36.096444,035 20:07:36.146451
59,035 20:07:37.096561,035 20:07:37.146598
57.5,035 20:07:38.096527,035 20:07:38.146536
59,035 20:07:39.096577,035 20:07:39.146586
60,035 20:07:40.096704,035 20:07:40.146723
59.5,035 20:07:42.096675,035 20:07:42.146692
58.5,035 20:07:43.096735,035 20:07:43.146790
61,035 20:07:44.096877,035 20:07:44.146777
62,035 20:07:45.096813,035 20:07:45.146811
60.5,035 20:07:46.096853,035 20:07:46.146858
60,035 20:07:47.096938,035 20:07:47.147004
59.5,035 20:07:48.096924,035 20:07:48.146927
60,035 20:07:49.096952,035 20:07:49.146960
59.5,035 20:07:51.097038,035 20:07:51.147042
60,035 20:07:52.097072,035 20:07:52.147078
59.5,035 20:07:53.097163,035 20:07:53.147242
60,035 20:07:56.097219,035 20:07:56.147344
74.5,035 20:07:57.097312,035 20:07:57.147268
74,035 20:07:58.097310,035 20:07:58.147318
73.5,035 20:07:59.097333,035 20:07:59.147420
59,035 20:08:00.097456,035 20:08:00.147491
58,035 20:08:01.097471,035 20:08:01.147418
57.5,035 20:08:02.097449,035 20:08:02.147459
58.5,035 20:08:03.097590,035 20:08:03.147591
59,035 20:08:05.097561,035 20:08:05.147570
61,035 20:08:06.097711,035 20:08:06.147731
58,035 20:08:07.097643,035 20:08:07.147647
59,035 20:08:09.097758,035 20:08:09.147858
61.5,035 20:08:10.097774,035 20:08:10.147752
59.5,035 20:08:11.097802,035 20:08:11.147798
58.5,035 20:08:12.097822,035 20:08:12.147841
58,035 20:08:14.097935,035 20:08:14.147957
58.5,035 20:08:16.098083,035 20:08:16.148099
61,035 20:08:17.098013,035 20:08:17.148013
58.5,035 20:08:18.098049,035 20:08:18.148051
63.5,035 20:08:19.098247,035 20:08:19.148204
60,035 20:08:20.098121,035 20:08:20.148184
61,035 20:08:21.098152,035 20:08:21.148160
58.5,035 20:08:22.098284,035 20:08:22.148303
61.5,035 20:08:25.098328,035 20:08:25.148328
60,035 20:08:26.098449,035 20:08:26.148482
59,035 20:08:27.098406,035 20:08:27.148413
57,035 20:08:29.098575,035 20:08:29.148571
58.5,035 20:08:30.098512,035 20:08:30.148518
57.5,035 20:08:31.098551,035 20:08:31.148551
58,035 20:08:32.098678,035 20:08:32.148704
59,035 20:08:33.098630,035 20:08:33.148639
58.5,035 20:08:34.098648,035 20:08:34.148662
58,035 20:08:35.098746,035 20:08:35.148824
58.5,035 20:08:36.098828,035 20:08:36.148750
58,035 20:08:37.098775,035 20:08:37.148782
59,035 20:08:38.098803,035 20:08:38.148817
58.5,035 20:08:39.098931,035 20:08:39.148964
57.5,035 20:08:40.098883,035 20:08:40.148890
57,035 20:08:41.098928,035 20:08:41.148929
57.5,035 20:08:44.099039,035 20:08:44.149055
58,035 20:08:46.099144,035 20:08:46.149133
57,035 20:08:47.099159,035 20:08:47.149168
58.5,035 20:08:49.099343,035 20:08:49.149295
55.5,035 20:08:50.099275,035 20:08:50.149284
57,035 20:08:51.099308,035 20:08:51.149316
58.5,035 20:08:52.099442,035 20:08:52.149474
56,035 20:08:53.099386,035 20:08:53.149392
57,035 20:08:55.099596,035 20:08:55.149574
49,035 20:08:56.099509,035 20:08:56.149516
47,035 20:08:57.099549,035 20:08:57.149556
45.5,035 20:08:58.099687,035 20:08:58.149705
48.5,035 20:08:59.099635,035 20:08:59.149628
47.5,035 20:09:00.099652,035 20:09:00.149667
47,035 20:09:02.099792,035 20:09:02.149736
63,035 20:09:03.099765,035 20:09:03.149775
43.5,035 20:09:04.099814,035 20:09:04.149863
42,035 20:09:05.099954,035 20:09:05.149916
43,035 20:09:06.099896,035 20:09:06.149883
62.5,035 20:09:07.099915,035 20:09:07.149932
43.5,035 20:09:08.100056,035 20:09:08.150071
42.5,035 20:09:09.099994,035 20:09:09.150061
43.5,035 20:09:10.100036,035 20:09:10.150108
45,035 20:09:11.100267,035 20:09:11.150193
44,035 20:09:12.100137,035 20:09:12.150108
45,035 20:09:13.100151,035 20:09:13.150143
45.5,035 20:09:14.100234,035 20:09:14.150309
46,035 20:09:15.100272,035 20:09:15.150220
49,035 20:09:16.100271,035 20:09:16.150273
47.5,035 20:09:17.100294,035 20:09:17.150302
64,035 20:09:18.100426,035 20:09:18.150415
42.5,035 20:09:19.100377,035 20:09:19.150375
58.5,035 20:09:21.100547,035 20:09:21.150567
56,035 20:09:22.100487,035 20:09:22.150497
58,035 20:09:23.100526,035 20:09:23.150533
59,035 20:09:25.100595,035 20:09:25.150608
57.5,035 20:09:26.100641,035 20:09:26.150642
56.5,035 20:09:27.100768,035 20:09:27.150807
57.5,035 20:09:28.100762,035 20:09:28.150719
46.5,035 20:09:29.100753,035 20:09:29.150760
48,035 20:09:30.100784,035 20:09:30.150868
46,035 20:09:31.100921,035 20:09:31.150852
47.5,035 20:09:33.100921,035 20:09:33.150926
47,035 20:09:34.101034,035 20:09:34.151066
46.5,035 20:09:35.101006,035 20:09:35.151011
48.5,035 20:09:36.101053,035 20:09:36.151030
49,035 20:09:37.101140,035 20:09:37.151149
48.5,035 20:09:38.101121,035 20:09:38.151121
49.5,035 20:09:39.101152,035 20:09:39.151157
47.5,035 20:09:40.101285,035 20:09:40.151308
52,035 20:09:41.101250,035 20:09:41.151232
65,035 20:09:42.101255,035 20:09:42.151266
56.5,035 20:09:44.101432,035 20:09:44.151411
55.5,035 20:09:45.101388,035 20:09:45.151385
55,035 20:09:46.101428,035 20:09:46.151433
44,035 20:09:47.101532,035 20:09:47.151565
48,035 20:09:48.101496,035 20:09:48.151508
49,035 20:09:49.101529,035 20:09:49.151536
48,035 20:09:50.101666,035 20:09:50.151702
47,035 20:09:52.101645,035 20:09:52.151645
45.5,035 20:09:53.101736,035 20:09:53.151804
46,035 20:09:54.101774,035 20:09:54.151726
64.5,035 20:09:55.101756,035 20:09:55.151766
42.5,035 20:09:56.101814,035 20:09:56.151878
43.5,035 20:09:57.102000,035 20:09:57.151859
56,035 20:09:58.101872,035 20:09:58.151877
56.5,035 20:09:59.101921,035 20:09:59.151929
58.5,035 20:10:00.102060,035 20:10:00.152079
57,035 20:10:01.102005,035 20:10:01.151999
55,035 20:10:02.102037,035 20:10:02.152034
44.5,035 20:10:03.102226,035 20:10:03.152156
48,035 20:10:04.102100,035 20:10:04.152117
46.5,035 20:10:05.102141,035 20:10:05.152149
47.5,035 20:10:06.102275,035 20:10:06.152414
47,035 20:10:07.102233,035 20:10:07.152222
45,035 20:10:08.102251,035 20:10:08.152264
45.5,035 20:10:09.102288,035 20:10:09.152395
46.5,035 20:10:10.102417,035 20:10:10.152350
54,035 20:10:11.102363,035 20:10:11.152366
52.5,035 20:10:12.102407,035 20:10:12.152414
56.5,035 20:10:13.102539,035 20:10:13.152559
57,035 20:10:14.102479,035 20:10:14.152488
57.5,035 20:10:15.102514,035 20:10:15.152518
56.5,035 20:10:16.102663,035 20:10:16.152679
51,035 20:10:17.102589,035 20:10:17.152590
52,035 20:10:18.102625,035 20:10:18.152626
57.5,035 20:10:19.102757,035 20:10:19.152791
69,035 20:10:20.102745,035 20:10:20.152707
71,035 20:10:21.102732,035 20:10:21.152746
70,035 20:10:22.102772,035 20:10:22.152843
47,035 20:10:23.102941,035 20:10:23.152838
45.5,035 20:10:25.102883,035 20:10:25.152893
45,035 20:10:27.102966,035 20:10:27.152974
45.5,035 20:10:29.103136,035 20:10:29.153134
45,035 20:10:30.103083,035 20:10:30.153090
45.5,035 20:10:31.103142,035 20:10:31.153136
46,035 20:10:32.103208,035 20:10:32.153280
45,035 20:10:34.103234,035 20:10:34.153242
47,035 20:10:35.103266,035 20:10:35.153299
46,035 20:10:36.103392,035 20:10:36.153342
45.5,035 20:10:37.103358,035 20:10:37.153354
46,035 20:10:39.103515,035 20:10:39.153526
63.5,035 20:10:40.103467,035 20:10:40.153479
64.5,035 20:10:41.103497,035 20:10:41.153506
65,035 20:10:42.103618,035 20:10:42.153659
43,035 20:10:43.103584,035 20:10:43.153584
41,035 20:10:44.103628,035 20:10:44.153630
42,035 20:10:45.103651,035 20:10:45.153773
43.5,035 20:10:46.103759,035 20:10:46.153711
44.5,035 20:10:47.103749,035 20:10:47.153740
45,035 20:10:49.103887,035 20:10:49.153863
46.5,035 20:10:52.104028,035 20:10:52.154043
44.5,035 20:10:53.103978,035 20:10:53.153969
46,035 20:10:54.104000,035 20:10:54.154002
44.5,035 20:10:55.104117,035 20:10:55.154121
47.5,035 20:10:56.104095,035 20:10:56.154086
64,035 20:10:57.104125,035 20:10:57.154126
41,035 20:10:58.104208,035 20:10:58.154303
63,035 20:10:59.104216,035 20:10:59.154210
64,035 20:11:00.104251,035 20:11:00.154246
65.5,035 20:11:01.104282,035 20:11:01.154368
43.5,035 20:11:02.104400,035 20:11:02.154403
40.5,035 20:11:03.104349,035 20:11:03.154351
41.5,035 20:11:04.104443,035 20:11:04.154397
43,035 20:11:05.104481,035 20:11:05.154545
45,035 20:11:06.104458,035 20:11:06.154467
44.5,035 20:11:07.104499,035 20:11:07.154501
45.5,035 20:11:08.104654,035 20:11:08.154633
48,035 20:11:09.104587,035 20:11:09.154578
66.5,035 20:11:10.104630,035 20:11:10.154623
66,035 20:11:11.104730,035 20:11:11.154788
43,035 20:11:12.104812,035 20:11:12.154702
64.5,035 20:11:13.104725,035 20:11:13.154733
42.5,035 20:11:14.104780,035 20:11:14.154805
40.5,035 20:11:15.104900,035 20:11:15.154923
42.5,035 20:11:16.104839,035 20:11:16.154840
63,035 20:11:18.104980,035 20:11:18.155027
44.5,035 20:11:19.104969,035 20:11:19.154961
64.5,035 20:11:20.105057,035 20:11:20.154997
67.5,035 20:11:21.105130,035 20:11:21.155126
66,035 20:11:22.105079,035 20:11:22.155083
43,035 20:11:23.105114,035 20:11:23.155108
41,035 20:11:24.105168,035 20:11:24.155271
64,035 20:11:25.105204,035 20:11:25.155196
42.5,035 20:11:26.105221,035 20:11:26.155226
42,035 20:11:27.105263,035 20:11:27.155332
44.5,035 20:11:29.105336,035 20:11:29.155332
44,035 20:11:30.105364,035 20:11:30.155373
44.5,035 20:11:31.105450,035 20:11:31.155532
45,035 20:11:32.105538,035 20:11:32.155491
44.5,035 20:11:33.105500,035 20:11:33.155495
45,035 20:11:34.105529,035 20:11:34.155543
45.5,035 20:11:35.105650,035 20:11:35.155678
45,035 20:11:36.105609,035 20:11:36.155621
45.5,035 20:11:37.105648,035 20:11:37.155647
44.5,035 20:11:38.105793,035 20:11:38.155788
45,035 20:11:39.105727,035 20:11:39.155725
45.5,035 20:11:42.105857,035 20:11:42.155848
45,035 20:11:46.106001,035 20:11:46.156019
45.5,035 20:11:47.106033,035 20:11:47.156041
44,035 20:11:48.106165,035 20:11:48.156165
44.5,035 20:11:49.106117,035 20:11:49.156122
45,035 20:11:50.106154,035 20:11:50.156164
67,035 20:11:51.106299,035 20:11:51.156290
67.5,035 20:11:52.106229,035 20:11:52.156237
44,035 20:11:53.106281,035 20:11:53.156279
42,035 20:11:54.106500,035 20:11:54.156440
43,035 20:11:55.106345,035 20:11:55.156364
43.5,035 20:11:56.106375,035 20:11:56.156390
43,035 20:11:57.106462,035 20:11:57.156553
44.5,035 20:11:58.106555,035 20:11:58.156551
45,035 20:12:01.106671,035 20:12:01.156707
44.5,035 20:12:02.106620,035 20:12:02.156625
45.5,035 20:12:03.106656,035 20:12:03.156660
44.5,035 20:12:05.106734,035 20:12:05.156743
45,035 20:12:06.106765,035 20:12:06.156768
45.5,035 20:12:07.106911,035 20:12:07.156976
45,035 20:12:08.106842,035 20:12:08.156845
46.5,035 20:12:09.106871,035 20:12:09.156885
45.5,035 20:12:10.106985,035 20:12:10.157028
44.5,035 20:12:11.107051,035 20:12:11.156974
45,035 20:12:12.106990,035 20:12:12.157012
66,035 20:12:13.107027,035 20:12:13.157035
43.5,035 20:12:14.107156,035 20:12:14.157191
40.5,035 20:12:15.107099,035 20:12:15.157114
42,035 20:12:16.107142,035 20:12:16.157145
43.5,035 20:12:17.107259,035 20:12:17.157263
44.5,035 20:12:18.107214,035 20:12:18.157224
65,035 20:12:19.107251,035 20:12:19.157261
43,035 20:12:20.107401,035 20:12:20.157398
41.5,035 20:12:21.107348,035 20:12:21.157336
42,035 20:12:22.107382,035 20:12:22.157389
44.5,035 20:12:23.107464,035 20:12:23.157540
43.5,035 20:12:24.107509,035 20:12:24.157458
67,035 20:12:25.107479,035 20:12:25.157495
43,035 20:12:26.107523,035 20:12:26.157533
42,035 20:12:28.107598,035 20:12:28.157600
65.5,035 20:12:29.107641,035 20:12:29.157639
67,035 20:12:30.107749,035 20:12:30.157786
43.5,035 20:12:31.107720,035 20:12:31.157718
41.5,035 20:12:32.107752,035 20:12:32.157754
42,035 20:12:33.107888,035 20:12:33.157917
43,035 20:12:34.107823,035 20:12:34.157833
44,035 20:12:35.107865,035 20:12:35.157866
43.5,035 20:12:36.107914,035 20:12:36.158007
44.5,035 20:12:37.108007,035 20:12:37.157946
45.5,035 20:12:38.107970,035 20:12:38.157990
45,035 20:12:40.108145,035 20:12:40.158115
45.5,035 20:12:41.108091,035 20:12:41.158089
46,035 20:12:43.108239,035 20:12:43.158242
44.5,035 20:12:44.108204,035 20:12:44.158212
45.5,035 20:12:45.108240,035 20:12:45.158247
44.5,035 20:12:46.108382,035 20:12:46.158404
45,035 20:12:47.108340,035 20:12:47.158333
46.5,035 20:12:49.108395,035 20:12:49.158439
45.5,035 20:12:50.108524,035 20:12:50.158457
45,035 20:12:51.108478,035 20:12:51.158486
46,035 20:12:52.108528,035 20:12:52.158533
47,035 20:12:53.108630,035 20:12:53.158639
49,035 20:12:54.108607,035 20:12:54.158605
65.5,035 20:12:55.108648,035 20:12:55.158647
43.5,035 20:12:56.108781,035 20:12:56.158764
41.5,035 20:12:57.108747,035 20:12:57.158728
42,035 20:12:59.108863,035 20:12:59.158916
42.5,035 20:13:00.108833,035 20:13:00.158836
65.5,035 20:13:01.108883,035 20:13:01.158875
43,035 20:13:02.108903,035 20:13:02.159003
42,035 20:13:03.109003,035 20:13:03.158946
42.5,035 20:13:05.109017,035 20:13:05.159035
43,035 20:13:06.109133,035 20:13:06.159183
45,035 20:13:07.109147,035 20:13:07.159101
45.5,035 20:13:08.109147,035 20:13:08.159154
44,035 20:13:09.109272,035 20:13:09.159290
66.5,035 20:13:10.109220,035 20:13:10.159222
67,035 20:13:11.109261,035 20:13:11.159265
44,035 20:13:12.109363,035 20:13:12.159410
42.5,035 20:13:13.109333,035 20:13:13.159329
43,035 20:13:15.109411,035 20:13:15.159504
43.5,035 20:13:16.109512,035 20:13:16.159521
44.5,035 20:13:21.109629,035 20:13:21.159676
46.5,035 20:13:22.109868,035 20:13:22.159887
45.5,035 20:13:23.109696,035 20:13:23.159705
44.5,035 20:13:27.109863,035 20:13:27.159867
44,035 20:13:28.109980,035 20:13:28.159999
45.5,035 20:13:29.109954,035 20:13:29.159936
45,035 20:13:30.109976,035 20:13:30.159974
44,035 20:13:31.109999,035 20:13:31.160041
45,035 20:13:32.110137,035 20:13:32.160142
46,035 20:13:33.110099,035 20:13:33.160096
45,035 20:13:34.110118,035 20:13:34.160127
44.5,035 20:13:37.110239,035 20:13:37.160248
45,035 20:13:38.110379,035 20:13:38.160386
44.5,035 20:13:39.110321,035 20:13:39.160325
46,035 20:13:40.110347,035 20:13:40.160355
44.5,035 20:13:41.110449,035 20:13:41.160499
43.5,035 20:13:44.110503,035 20:13:44.160529
42.5,035 20:13:45.110602,035 20:13:45.160665
44.5,035 20:13:46.110589,035 20:13:46.160594
45,035 20:13:47.110623,035 20:13:47.160625
46,035 20:13:49.110703,035 20:13:49.160704
44.5,035 20:13:50.110743,035 20:13:50.160743
46,035 20:13:51.110829,035 20:13:51.160898
45,035 20:13:52.110822,035 20:13:52.160827
44,035 20:13:53.110861,035 20:13:53.160863
43.5,035 20:13:54.110962,035 20:13:54.161037
45,035 20:13:55.111041,035 20:13:55.161057
44.5,035 20:14:00.111136,035 20:14:00.161144
44,035 20:14:01.111258,035 20:14:01.161283
44.5,035 20:14:02.111225,035 20:14:02.161219
43,035 20:14:05.111334,035 20:14:05.161332
43.5,035 20:14:06.111357,035 20:14:06.161365
45,035 20:14:07.111463,035 20:14:07.161503
44.5,035 20:14:08.111539,035 20:14:08.161444
45,035 20:14:09.111486,035 20:14:09.161481
44,035 20:14:10.111507,035 20:14:10.161513
45,035 20:14:11.111626,035 20:14:11.161633
45.5,035 20:14:12.111585,035 20:14:12.161600
46,035 20:14:13.111622,035 20:14:13.161631
45.5,035 20:14:14.111826,035 20:14:14.161801
45,035 20:14:15.111713,035 20:14:15.161719
46,035 20:14:16.111754,035 20:14:16.161746
67.5,035 20:14:17.111898,035 20:14:17.161909
44.5,035 20:14:19.111866,035 20:14:19.161866
42,035 20:14:20.111959,035 20:14:20.162025
41.5,035 20:14:21.112028,035 20:14:21.161946
42,035 20:14:22.111964,035 20:14:22.161973
43.5,035 20:14:23.112026,035 20:14:23.162017
44,035 20:14:25.112089,035 20:14:25.162088
44.5,035 20:14:26.112143,035 20:14:26.162130
44,035 20:14:27.112275,035 20:14:27.162242
45,035 20:14:28.112202,035 20:14:28.162210
43.5,035 20:14:29.112250,035 20:14:29.162241
43,035 20:14:32.112359,035 20:14:32.162354
44,035 20:14:33.112445,035 20:14:33.162480
45,035 20:14:34.112512,035 20:14:34.162421
44,035 20:14:35.112479,035 20:14:35.162467
44.5,035 20:14:36.112513,035 20:14:36.162510
67.5,035 20:14:37.112630,035 20:14:37.162609
44.5,035 20:14:38.112578,035 20:14:38.162579
43,035 20:14:39.112616,035 20:14:39.162623
43.5,035 20:14:41.112697,035 20:14:41.162698
44,035 20:14:43.112868,035 20:14:43.162897
45.5,035 20:14:46.112930,035 20:14:46.163015
45,035 20:14:47.113013,035 20:14:47.162942
45.5,035 20:14:49.113000,035 20:14:49.163005
45,035 20:14:50.113132,035 20:14:50.163156
44.5,035 20:14:51.113099,035 20:14:51.163082
45,035 20:14:53.113265,035 20:14:53.163249
44.5,035 20:14:54.113216,035 20:14:54.163201
44,035 20:14:55.113241,035 20:14:55.163249
44.5,035 20:14:56.113387,035 20:14:56.163416
45.5,035 20:15:00.113532,035 20:15:00.163460
45,035 20:15:02.113527,035 20:15:02.163525
44.5,035 20:15:04.113635,035 20:15:04.163595
45.5,035 20:15:08.113741,035 20:15:08.163748
45,035 20:15:09.113896,035 20:15:09.163878
44,035 20:15:10.113836,035 20:15:10.163828
45,035 20:15:13.114048,035 20:15:13.163941
42.5,035 20:15:16.114154,035 20:15:16.164138
45.5,035 20:15:17.114113,035 20:15:17.164090
66,035 20:15:18.114142,035 20:15:18.164126
44.5,035 20:15:19.114289,035 20:15:19.164254
42.5,035 20:15:20.114206,035 20:15:20.164208
43.5,035 20:15:21.114267,035 20:15:21.164252
68,035 20:15:22.114371,035 20:15:22.164405
46,035 20:15:24.114423,035 20:15:24.164361
69,035 20:15:25.114396,035 20:15:25.164490
45,035 20:15:26.114500,035 20:15:26.164437
42.5,035 20:15:27.114479,035 20:15:27.164471
40.5,035 20:15:28.114500,035 20:15:28.164562
42,035 20:15:29.114668,035 20:15:29.164602
44.5,035 20:15:30.114580,035 20:15:30.164588
44,035 20:15:31.114616,035 20:15:31.164628
44.5,035 20:15:32.114749,035 20:15:32.164772
45,035 20:15:33.114696,035 20:15:33.164705
44.5,035 20:15:34.114732,035 20:15:34.164740
44,035 20:15:35.114844,035 20:15:35.164850
44.5,035 20:15:36.114810,035 20:15:36.164817
69,035 20:15:37.114864,035 20:15:37.164868
45,035 20:15:38.114889,035 20:15:38.165013
43.5,035 20:15:39.114962,035 20:15:39.164945
42,035 20:15:40.114977,035 20:15:40.164978
42.5,035 20:15:41.115004,035 20:15:41.165083
44.5,035 20:15:43.115091,035 20:15:43.165081
43.5,035 20:15:45.115233,035 20:15:45.165270
45,035 20:15:46.115207,035 20:15:46.165218
46.5,035 20:15:47.115251,035 20:15:47.165244
68.5,035 20:15:48.115399,035 20:15:48.165404
45.5,035 20:15:49.115334,035 20:15:49.165322
44.5,035 20:15:50.115359,035 20:15:50.165362
41.5,035 20:15:51.115408,035 20:15:51.165518
43,035 20:15:52.115498,035 20:15:52.165444
42.5,035 20:15:53.115490,035 20:15:53.165476
43,035 20:15:54.115509,035 20:15:54.165568
45,035 20:15:55.115623,035 20:15:55.165670
44,035 20:15:56.115607,035 20:15:56.165600
44.5,035 20:15:57.115624,035 20:15:57.165638
44,035 20:16:00.115759,035 20:16:00.165803
45,035 20:16:01.115912,035 20:16:01.165882
44.5,035 20:16:02.115892,035 20:16:02.165832
69.5,035 20:16:03.115890,035 20:16:03.165868
44.5,035 20:16:04.115937,035 20:16:04.166061
68.5,035 20:16:05.115985,035 20:16:05.165947
69.5,035 20:16:06.115994,035 20:16:06.165997
70.5,035 20:16:07.116023,035 20:16:07.166049
66.5,035 20:16:08.116137,035 20:16:08.166173
68,035 20:16:09.116095,035 20:16:09.166101
71.5,035 20:16:11.116243,035 20:16:11.166291
68.5,035 20:16:12.116240,035 20:16:12.166211
68,035 20:16:13.116274,035 20:16:13.166261
70.5,035 20:16:14.116398,035 20:16:14.166415
67.5,035 20:16:15.116356,035 20:16:15.166338
43,035 20:16:16.116371,035 20:16:16.166377
41,035 20:16:18.116492,035 20:16:18.166496
45.5,035 20:16:19.116545,035 20:16:19.166481
43,035 20:16:20.116516,035 20:16:20.166573
43.5,035 20:16:21.116656,035 20:16:21.166677
44.5,035 20:16:22.116612,035 20:16:22.166601
43.5,035 20:16:23.116634,035 20:16:23.166635
43,035 20:16:24.116779,035 20:16:24.166798
44,035 20:16:25.116705,035 20:16:25.166713
45,035 20:16:26.116750,035 20:16:26.166752
44.5,035 20:16:27.116915,035 20:16:27.166920
44,035 20:16:28.116837,035 20:16:28.166832
43,035 20:16:30.116933,035 20:16:30.167021
44,035 20:16:31.116963,035 20:16:31.166957
47.5,035 20:16:32.116977,035 20:16:32.166983
67,035 20:16:33.117016,035 20:16:33.167101
45,035 20:16:34.117236,035 20:16:34.167290
69.5,035 20:16:35.117092,035 20:16:35.167092
46.5,035 20:16:36.117128,035 20:16:36.167129
43.5,035 20:16:37.117229,035 20:16:37.167278
41.5,035 20:16:38.117218,035 20:16:38.167206
43,035 20:16:39.117242,035 20:16:39.167246
42.5,035 20:16:41.117324,035 20:16:41.167329
43.5,035 20:16:42.117357,035 20:16:42.167366
44,035 20:16:44.117461,035 20:16:44.167444
43,035 20:16:47.117635,035 20:16:47.167668
44.5,035 20:16:48.117597,035 20:16:48.167595
45,035 20:16:49.117637,035 20:16:49.167631
44.5,035 20:16:50.117791,035 20:16:50.167779
45.5,035 20:16:53.117942,035 20:16:53.167905
44.5,035 20:16:54.117832,035 20:16:54.167826
44,035 20:16:56.117925,035 20:16:56.168023
43.5,035 20:16:58.117999,035 20:16:58.167991
45,035 20:16:59.118033,035 20:16:59.168025
44.5,035 20:17:00.118129,035 20:17:00.168139
44,035 20:17:02.118146,035 20:17:02.168193
43.5,035 20:17:03.118238,035 20:17:03.168291
44,035 20:17:04.118203,035 20:17:04.168210
44.5,035 20:17:06.118401,035 20:17:06.168410
44,035 20:17:07.118332,035 20:17:07.168335
44.5,035 20:17:12.118520,035 20:17:12.168528
45,035 20:17:13.118645,035 20:17:13.168681
44,035 20:17:15.118634,035 20:17:15.168646
68.5,035 20:17:16.118756,035 20:17:16.168757
70.5,035 20:17:17.118712,035 20:17:17.168724
71,035 20:17:18.118762,035 20:17:18.168760
57.5,035 20:17:19.118905,035 20:17:19.168928
56,035 20:17:20.118848,035 20:17:20.168841
57,035 20:17:21.118867,035 20:17:21.168874
56,035 20:17:24.119005,035 20:17:24.169001
56.5,035 20:17:26.119171,035 20:17:26.169130
55.5,035 20:17:27.119103,035 20:17:27.169111
57,035 20:17:29.119303,035 20:17:29.169258
55.5,035 20:17:30.119303,035 20:17:30.169259
57,035 20:17:31.119259,035 20:17:31.169255
56.5,035 20:17:32.119308,035 20:17:32.169312
57,035 20:17:33.119443,035 20:17:33.169448
56,035 20:17:34.119404,035 20:17:34.169389
44,035 20:17:35.119426,035 20:17:35.169424
43.5,035 20:17:38.119541,035 20:17:38.169536
42.5,035 20:17:39.119571,035 20:17:39.169693
43.5,035 20:17:40.119630,035 20:17:40.169615
45.5,035 20:17:42.119716,035 20:17:42.169736
45,035 20:17:43.119816,035 20:17:43.169783
45.5,035 20:17:44.119768,035 20:17:44.169774
44.5,035 20:17:45.119800,035 20:17:45.169810
45,035 20:17:46.119984,035 20:17:46.169953
44.5,035 20:17:47.119886,035 20:17:47.169894
43.5,035 20:17:48.119909,035 20:17:48.169917
44.5,035 20:17:51.120026,035 20:17:51.170037
44,035 20:17:52.120066,035 20:17:52.170200
44.5,035 20:17:53.120160,035 20:17:53.170116
44,035 20:17:54.120157,035 20:17:54.170158
45,035 20:17:55.120183,035 20:17:55.170235
44,035 20:17:56.120293,035 20:17:56.170274
43.5,035 20:17:57.120267,035 20:17:57.170274
44,035 20:17:58.120321,035 20:17:58.170313
