Event,Event Start Time,Event End Time
46.5,035 19:29:49.012559,035 19:29:49.062566
46,035 19:29:51.012675,035 19:29:51.062630
45.5,035 19:29:57.012835,035 19:29:57.062840
46,035 19:29:58.013033,035 19:29:58.063120
46.5,035 19:30:00.012933,035 19:30:00.062934
46,035 19:30:03.013061,035 19:30:03.063063
45.5,035 19:30:04.013093,035 19:30:04.063158
45,035 19:30:05.013229,035 19:30:05.063175
45.5,035 19:30:06.013153,035 19:30:06.063162
45,035 19:30:08.013312,035 19:30:08.063330
45.5,035 19:30:11.013339,035 19:30:11.063392
45,035 19:30:12.013450,035 19:30:12.063481
45.5,035 19:30:13.013431,035 19:30:13.063407
45,035 19:30:15.013494,035 19:30:15.063606
45.5,035 19:30:16.013599,035 19:30:16.063546
45,035 19:30:17.013563,035 19:30:17.063560
45.5,035 19:30:18.013598,035 19:30:18.063603
45,035 19:30:19.013735,035 19:30:19.063728
45.5,035 19:30:20.013665,035 19:30:20.063667
45,035 19:30:22.013792,035 19:30:22.063847
44.5,035 19:30:26.013946,035 19:30:26.063906
45,035 19:30:28.013934,035 19:30:28.063937
45.5,035 19:30:30.014041,035 19:30:30.064020
45,035 19:30:35.014310,035 19:30:35.064329
45.5,035 19:30:36.014228,035 19:30:36.064280
45,035 19:30:38.014340,035 19:30:38.064425
45.5,035 19:30:43.014477,035 19:30:43.064479
45,035 19:30:45.014652,035 19:30:45.064630
44.5,035 19:30:46.014587,035 19:30:46.064573
45,035 19:30:53.014872,035 19:30:53.064821
45.5,035 19:31:02.015151,035 19:31:02.065140
45,035 19:31:03.015169,035 19:31:03.065174
45.5,035 19:31:04.015232,035 19:31:04.065281
45,035 19:31:07.015306,035 19:31:07.065377
45.5,035 19:31:08.015420,035 19:31:08.065389
45,035 19:31:11.015555,035 19:31:11.065542
45.5,035 19:31:14.015680,035 19:31:14.065673
45,035 19:31:15.015610,035 19:31:15.065603
45.5,035 19:31:17.015688,035 19:31:17.065763
46,035 19:31:26.015990,035 19:31:26.065997
45.5,035 19:31:27.016167,035 19:31:27.066185
46,035 19:31:30.016140,035 19:31:30.066253
45.5,035 19:31:31.016248,035 19:31:31.066172
46,035 19:31:33.016240,035 19:31:33.066313
45.5,035 19:31:34.016331,035 19:31:34.066458
46,035 19:31:36.016339,035 19:31:36.066350
45.5,035 19:31:37.016468,035 19:31:37.066473
45,035 19:31:42.016546,035 19:31:42.066563
45.5,035 19:31:44.016683,035 19:31:44.066744
45,035 19:31:45.016741,035 19:31:45.066732
45.5,035 19:31:46.016689,035 19:31:46.066687
45,035 19:31:50.016826,035 19:31:50.066830
45.5,035 19:31:56.017147,035 19:31:56.067159
45,035 19:31:57.017090,035 19:31:57.067096
45.5,035 19:31:58.017122,035 19:31:58.067113
46.5,035 19:32:07.017521,035 19:32:07.067547
45.5,035 19:32:08.017530,035 19:32:08.067460
46,035 19:32:09.017507,035 19:32:09.067498
45.5,035 19:32:11.017647,035 19:32:11.067635
45,035 19:32:12.017691,035 19:32:12.067615
45.5,035 19:32:13.017677,035 19:32:13.067643
45,035 19:32:15.017864,035 19:32:15.067822
45.5,035 19:32:18.017886,035 19:32:18.067826
45,035 19:32:20.017886,035 19:32:20.067895
45.5,035 19:32:21.017941,035 19:32:21.067932
45,035 19:32:22.018006,035 19:32:22.068096
45.5,035 19:32:24.018047,035 19:32:24.068042
45,035 19:32:25.018086,035 19:32:25.068078
45.5,035 19:32:30.018333,035 19:32:30.068335
45,035 19:32:37.018514,035 19:32:37.068545
45.5,035 19:32:39.018652,035 19:32:39.068601
45,035 19:32:43.018735,035 19:32:43.068739
45.5,035 19:32:44.018760,035 19:32:44.068772
45,035 19:32:45.018914,035 19:32:45.068943
45.5,035 19:32:47.018938,035 19:32:47.068941
46,035 19:32:54.019120,035 19:32:54.069129
45.5,035 19:32:56.019219,035 19:32:56.069203
45,035 19:32:57.019323,035 19:32:57.069349
45.5,035 19:32:58.019272,035 19:32:58.069286
45,035 19:33:01.019525,035 19:33:01.069475
45.5,035 19:33:12.019866,035 19:33:12.069870
45,035 19:33:19.020102,035 19:33:19.070124
44.5,035 19:33:22.020126,035 19:33:22.070153
45,035 19:33:23.020267,035 19:33:23.070284
44.5,035 19:33:24.020260,035 19:33:24.070198
45,035 19:33:26.020277,035 19:33:26.070282
45.5,035 19:33:30.020461,035 19:33:30.070483
45,035 19:33:35.020766,035 19:33:35.070686
45.5,035 19:33:36.020620,035 19:33:36.070638
45,035 19:33:41.020802,035 19:33:41.070804
45.5,035 19:33:42.020909,035 19:33:42.070970
45,035 19:33:45.020955,035 19:33:45.070956
45.5,035 19:33:46.021083,035 19:33:46.071043
45,035 19:33:49.021085,035 19:33:49.071091
45.5,035 19:33:50.021193,035 19:33:50.071240
45,035 19:33:52.021188,035 19:33:52.071190
45.5,035 19:33:54.021347,035 19:33:54.071334
45,035 19:33:57.021465,035 19:33:57.071509
45.5,035 19:34:00.021472,035 19:34:00.071477
45,035 19:34:03.021575,035 19:34:03.071585
45.5,035 19:34:04.021618,035 19:34:04.071627
45,035 19:34:08.021775,035 19:34:08.071770
76,035 19:34:10.021821,035 19:34:10.071832
51,035 19:34:11.021862,035 19:34:11.071869
49,035 19:34:12.021906,035 19:34:12.071957
48,035 19:34:13.022013,035 19:34:13.072052
47.5,035 19:34:14.021992,035 19:34:14.071999
75.5,035 19:34:15.022009,035 19:34:15.072023
50,035 19:34:16.022121,035 19:34:16.072186
76.5,035 19:34:17.022183,035 19:34:17.072148
51,035 19:34:18.022114,035 19:34:18.072127
49,035 19:34:19.022159,035 19:34:19.072167
48,035 19:34:20.022301,035 19:34:20.072292
47,035 19:34:21.022325,035 19:34:21.072255
46,035 19:34:22.022265,035 19:34:22.072264
45.5,035 19:34:24.022403,035 19:34:24.072409
46,035 19:34:26.022420,035 19:34:26.072410
45.5,035 19:34:27.022437,035 19:34:27.072449
46,035 19:34:32.022750,035 19:34:32.072746
45.5,035 19:34:33.022678,035 19:34:33.072678
45,035 19:34:43.023090,035 19:34:43.073154
45.5,035 19:34:44.023162,035 19:34:44.073082
45,035 19:34:51.023419,035 19:34:51.073430
45.5,035 19:34:52.023420,035 19:34:52.073422
45,035 19:34:53.023386,035 19:34:53.073394
45.5,035 19:34:56.023516,035 19:34:56.073523
45,035 19:35:03.023825,035 19:35:03.073801
44.5,035 19:35:04.023788,035 19:35:04.073798
45,035 19:35:06.024040,035 19:35:06.074087
44.5,035 19:35:08.023925,035 19:35:08.073935
45,035 19:35:09.023961,035 19:35:09.073983
45.5,035 19:35:19.024319,035 19:35:19.074333
46,035 19:35:23.024527,035 19:35:23.074475
45.5,035 19:35:24.024514,035 19:35:24.074503
46,035 19:35:29.024691,035 19:35:29.074696
45.5,035 19:35:32.024811,035 19:35:32.074795
45,035 19:35:35.024904,035 19:35:35.074904
